Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Url
334179969961,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / M (44-46) / S (40-42)- M (44-46)- S (40-42),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:S (40-42),,vG6I0K93s6KmsebiOXdX,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=334179969961
694531888421,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / L (46-48) / S (40-42)- L (46-48)- S (40-42),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:S (40-42),,7EhHYUyPp6atgoFzCPMO,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=694531888421
920706553381,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / S (40-42) / M (44-46)- S (40-42)- M (44-46),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:M (44-46),,ytkDBu0BBgzviXfcEtjB,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=920706553381
513294471751,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / M (44-46)- M (44-46)- M (44-46),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:M (44-46),,odOLIhFLdpJVZmUM3cOj,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=513294471751
387303118611,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / L (46-48) / M (44-46)- L (46-48)- M (44-46),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:M (44-46),,L04AMPUmMMY3X0d6svBg,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=387303118611
802193624501,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / S (40-42) / L (46-48)- S (40-42)- L (46-48),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:L (46-48),,cCE8KLOrFjDZX858hGnp,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=802193624501
581309608061,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / M (44-46) / L (46-48)- M (44-46)- L (46-48),,,,6050.00,0,,Размер топа:M (44-46);Размер леггинсов:L (46-48),,Bj3osHvJteZOpKt1VdMR,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=581309608061
824948905411,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / L (46-48)- L (46-48)- L (46-48),,,,6050.00,0,,Размер топа:L (46-48);Размер леггинсов:L (46-48),,U6CEPUBksZl5uodJzPMx,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=824948905411
880137044051,,,,Комплекты,Комплект Nebo черный,,"Комплект Nebo - утонченный и нежный. С легкостью поместится в вашей сумочке. Деликатно поддерживает грудь и подчеркивает талию. Очень мягкий и комфортный. Этот комплект станет вашим любимым. <br /><br />• Плетение рибана<br />• Моделирование фигуры<br />• Антипиллинг (не образуются катышки)<br />• Технология DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Съемные чашки у топа<br /><br />Состав: <br />76% нейлон, 14% полиэстер, 10% эластан<br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото:<br />Рост 176 см, параметры - 78/59/90. <br />Размер комплекта — S",https://static.tildacdn.com/tild3338-6139-4464-b133-613663346461/1182528739.jpg https://static.tildacdn.com/tild3630-3133-4162-b434-393335393161/1182527785.jpg https://static.tildacdn.com/tild3038-6438-4430-b739-306336363833/1182529042.jpg https://static.tildacdn.com/tild6262-3030-4633-a533-313562353330/1182529105.jpg https://static.tildacdn.com/tild3962-6266-4036-b561-303336663635/__last_variant.png,,,,,,oKYPrmOd7mRnXlVHVMOU,,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii
382486308281,,DF-07.0003/DF-07.0004,,,Комплект Nebo черный / S (40-42)- S (40-42)- S (40-42),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:S (40-42),,LCBi7atbsGPBSOc3ukPU,880137044051,https://define.moscow/kits/tproduct/359761173-880137044051-komplekt-nebo-chernii?editionuid=382486308281
