Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
Мой склад,Леггинсы,354797627,Леггинсы Nebo черный,legginsy-nebo-chernyy,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-chernyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024032,DF-07.0004,,600024032,,3300,,,0,,,,,k0oTb6XfiFwk3Wv2T7yH01,
Мой склад,Леггинсы,354797629,Леггинсы Vera черные,legginsy-vera-chernye,https://myshop-buy636.myinsales.ru/product/legginsy-vera-chernye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024036,DF-07.0010,,600024036,,3500,,,0,,,,,Ykkc9zzOgXGe1HNh3YjKM1,
Мой склад,Леггинсы,354797629,Леггинсы Vera черные,legginsy-vera-chernye,https://myshop-buy636.myinsales.ru/product/legginsy-vera-chernye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024034,DF-07.0010,,600024034,,3500,,,0,,,,,Ykkc9zzOgXGe1HNh3YjKM1,
Мой склад,Леггинсы,354797629,Леггинсы Vera черные,legginsy-vera-chernye,https://myshop-buy636.myinsales.ru/product/legginsy-vera-chernye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024035,DF-07.0010,,600024035,,3500,,,0,,,,,Ykkc9zzOgXGe1HNh3YjKM1,
Мой склад,Леггинсы,354797631,Леггинсы Nebo лаванда,legginsy-nebo-lavanda,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024039,DF-07.0006,,600024039,,3300,,,0,,,,,04qfUqxJiSlPy789jO3Et3,
Мой склад,Леггинсы,354797631,Леггинсы Nebo лаванда,legginsy-nebo-lavanda,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024038,DF-07.0006,,600024038,,3300,,,0,,,,,04qfUqxJiSlPy789jO3Et3,
Мой склад,Леггинсы,354797631,Леггинсы Nebo лаванда,legginsy-nebo-lavanda,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024041,DF-07.0006,,600024041,,3300,,,0,,,,,04qfUqxJiSlPy789jO3Et3,
Мой склад,Велосипедки,354797633,Велосипедки New day,velosipedki-new-day,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,оранжевый,600024044,DF-08.0002,,600024044,,3750,,,6,,,,,CWjZe54jgJw77yfx2Ulf30,
Мой склад,Велосипедки,354797633,Велосипедки New day,velosipedki-new-day,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,лаванда,600024043,DF-08.0002,,600024043,,3750,,,2,,,,,CWjZe54jgJw77yfx2Ulf30,
Мой склад,Велосипедки,354797633,Велосипедки New day,velosipedki-new-day,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,оранжевый,600024042,DF-08.0002,,600024042,,3750,,,1,,,,,CWjZe54jgJw77yfx2Ulf30,
Мой склад,Велосипедки,354797633,Велосипедки New day,velosipedki-new-day,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,лаванда,600024045,DF-08.0002,,600024045,,3750,,,3,,,,,CWjZe54jgJw77yfx2Ulf30,
Мой склад,Услуга по доставке товара конечному покупателю,354797634,Услуги по утилизации товара Вайлдберриз,uslugi-po-utilizatsii-tovara-vayldberriz,https://myshop-buy636.myinsales.ru/product/uslugi-po-utilizatsii-tovara-vayldberriz,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024046,,,600024046,,0,,,0,,,,,f4KSzmmwhqQ4adDP-UMDy0,
Мой склад,Леггинсы,354797636,Лосины Real Way голубые,losiny-real-way-golubye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024048,DF-04.00019,,600024048,,3800,,,0,,,,,rfMFeyz5icOSp2px1cwUF2,
Мой склад,Леггинсы,354797636,Лосины Real Way голубые,losiny-real-way-golubye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024049,DF-04.00019,,600024049,,3800,,,0,,,,,rfMFeyz5icOSp2px1cwUF2,
Мой склад,Леггинсы,354797636,Лосины Real Way голубые,losiny-real-way-golubye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024050,DF-04.00019,,600024050,,3800,,,0,,,,,rfMFeyz5icOSp2px1cwUF2,
Мой склад,Леггинсы,354797637,Лосины Real Way темно-серые,losiny-real-way-temno-serye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-temno-serye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024051,DF-04.00020,,600024051,,3800,,,0,,,,,kpSYz2wsjCBGbEjNgwWrA0,
Мой склад,Леггинсы,354797637,Лосины Real Way темно-серые,losiny-real-way-temno-serye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-temno-serye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024054,DF-04.00020,,600024054,,3800,,,0,,,,,kpSYz2wsjCBGbEjNgwWrA0,
Мой склад,Леггинсы,354797637,Лосины Real Way темно-серые,losiny-real-way-temno-serye,https://myshop-buy636.myinsales.ru/product/losiny-real-way-temno-serye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024052,DF-04.00020,,600024052,,3800,,,0,,,,,kpSYz2wsjCBGbEjNgwWrA0,
Мой склад,,354797639,Флаер,flaer,https://myshop-buy636.myinsales.ru/product/flaer,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024055,,,600024055,,0,,,0,,,,,cccOUvuSghLcpmBIVmCMn1,
Мой склад,Леггинсы,354797640,Леггинсы Luna лаванда меланж,legginsy-luna-lavanda-melanzh,https://myshop-buy636.myinsales.ru/product/legginsy-luna-lavanda-melanzh,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024056,DF-07.0013,,600024056,,3200,,,0,,,,,Xy-0eG0AiHNniHf8eWvit0,
Мой склад,Леггинсы,354797640,Леггинсы Luna лаванда меланж,legginsy-luna-lavanda-melanzh,https://myshop-buy636.myinsales.ru/product/legginsy-luna-lavanda-melanzh,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024058,DF-07.0013,,600024058,,3200,,,0,,,,,Xy-0eG0AiHNniHf8eWvit0,
